identity,emotion,sentence_id,vc_system,lipsync_system,output_video,lse_c,lse_d,avsu,avsm,lmd,ssim,cpbd,wavlm_sim,mel_sim,wer
George,neutral,c01,xtts_v2,wav2lip,data/generated/xtts_v2/wav2lip/George_neutral_c01.mp4,0.38256797968499967,0.4710084321609386,0.009454183075618619,0.08437651911226011,5.148379260422167,0.9254511799642432,36.75421311117512,0.9187366962432861,0.017492709681391716,nan
George,neutral,c02,xtts_v2,wav2lip,data/generated/xtts_v2/wav2lip/George_neutral_c02.mp4,0.19012185927083636,0.7440428000718468,0.074081454936099,0.09104854384072367,4.417518846711488,0.9306290584924244,38.01324939899742,0.9547325372695923,0.06134849041700363,0.14285714285714285
George,emotional,c01,xtts_v2,wav2lip,data/generated/xtts_v2/wav2lip/George_emotional_c01.mp4,0.333330963597135,0.5965596086340657,-0.056520872593712794,0.11505018126517268,4.914785228723756,0.924569794301242,32.8472506057733,0.8988957405090332,0.05268111079931259,0.0
George,emotional,c02,xtts_v2,wav2lip,data/generated/xtts_v2/wav2lip/George_emotional_c02.mp4,0.351040792260033,0.5246953542184112,-0.11729962085084496,0.05528729675957676,6.21954908825792,0.9196192494351126,35.863300909298125,0.8171222805976868,0.06836535781621933,0.0
Jordi,neutral,c01,xtts_v2,wav2lip,data/generated/xtts_v2/wav2lip/Jordi_neutral_c01.mp4,0.39117550046978716,0.5170388615099961,0.0869800468966112,0.0003926028209998572,4.1223690675022615,0.8908418554866432,152.96297226073065,0.9530729055404663,0.10009646415710449,0.0
Jordi,neutral,c02,xtts_v2,wav2lip,data/generated/xtts_v2/wav2lip/Jordi_neutral_c02.mp4,0.2510656698506193,0.6873183255502737,0.014737741268610747,0.04141170663475058,3.842653597114534,0.8880226233440942,145.2029683396166,0.836303174495697,0.10527235269546509,0.16666666666666666
Jordi,emotional,c01,xtts_v2,wav2lip,data/generated/xtts_v2/wav2lip/Jordi_emotional_c01.mp4,0.19949747205490753,0.7002804861174039,-0.10314905291907611,0.24031770811149328,5.878866493882988,0.8882601532391688,147.79585602788953,0.9160071611404419,0.023195212706923485,0.0
Jordi,emotional,c02,xtts_v2,wav2lip,data/generated/xtts_v2/wav2lip/Jordi_emotional_c02.mp4,0.276624794870552,0.6296947570873186,-0.1212369040160398,0.027588310577498817,6.036474046758059,0.8851811123088059,160.45325747649073,0.8181909918785095,0.02608129195868969,0.0
Lisset,neutral,c01,xtts_v2,wav2lip,data/generated/xtts_v2/wav2lip/Lisset_neutral_c01.mp4,0.2956194339986431,0.6459365068802541,0.029850012137717298,0.020567096479128286,3.48780626646498,0.9146125317491554,69.96870493962719,0.9266829490661621,0.006790168583393097,0.5
Lisset,neutral,c02,xtts_v2,wav2lip,data/generated/xtts_v2/wav2lip/Lisset_neutral_c02.mp4,0.4082112350059882,0.49006739289252965,-0.042571355340314115,0.0046445940793108376,3.994337927560851,0.9139614186461651,72.89245823416174,0.9494377970695496,0.018088791519403458,0.125
Lisset,emotional,c01,xtts_v2,wav2lip,data/generated/xtts_v2/wav2lip/Lisset_emotional_c01.mp4,0.37282212099687906,0.4795040357531386,-0.15901765095974021,0.07671723820829941,3.084896493766858,0.9201247154305712,40.64478340823922,0.9225150942802429,0.24425862729549408,0.0
Lisset,emotional,c02,xtts_v2,wav2lip,data/generated/xtts_v2/wav2lip/Lisset_emotional_c02.mp4,0.217676119456741,0.6522460493593221,0.09446573269712243,0.019514431676599206,5.07730237417819,0.9137891716658263,49.58812418209215,0.9355993270874023,0.0385841429233551,0.0
Maisa,neutral,c01,xtts_v2,wav2lip,data/generated/xtts_v2/wav2lip/Maisa_neutral_c01.mp4,0.169988128787682,0.8047954202941157,0.006973471303841806,0.16071142941683628,6.053651020125361,0.9258942233845379,96.07466388296383,0.8785156011581421,0.03250695392489433,0.0
Maisa,neutral,c02,xtts_v2,wav2lip,data/generated/xtts_v2/wav2lip/Maisa_neutral_c02.mp4,0.4928191060966489,0.34696188110588466,-0.3447846306812794,0.09388514241738005,2.5099308348964096,0.9406386891731807,91.2524150921248,0.8876104950904846,0.04730931296944618,0.0
Maisa,emotional,c01,xtts_v2,wav2lip,data/generated/xtts_v2/wav2lip/Maisa_emotional_c01.mp4,0.37489815084675526,0.3553051055637392,-0.09030618347680014,0.13772498822770352,3.8219519255362346,0.9231688141078527,156.15233917991517,0.8283113837242126,0.030255701392889023,0.0
