metric,n,mean,std,F_vc,p_vc,eta2_vc,F_ls,p_ls,eta2_ls,F_emo,p_emo,eta2_emo
lse_c,232,0.3506454524302498,0.12953143818087035,42.43628318523704,7.912017341914431e-22,0.3583047529350931,7.686010377339054,0.0005878523470476726,0.06290417662057093,1.1931690875730485,0.27583408378496055,0.0051609184314658045
lse_d,232,0.5640167187838705,0.1540105583819519,41.933352664050126,1.2804076853688584e-21,0.35556822321080955,7.933522548319457,0.00046627136386105374,0.06479861383705922,2.3267639666210727,0.12853987536164907,0.010015049178558463
avsu,232,0.013004924637868301,0.12832860144913463,0.3802256269024364,0.7673500221799707,0.004978063677891447,0.8490047928686896,0.429182677813137,0.0073603131157762665,0.03482269542341922,0.8521321710751432,0.00015138010417460154
avsm,232,0.09946762914783204,0.10575639130882118,0.8449611419257034,0.4705373201958627,0.010995660995457289,4.11902198138816,0.017480603259331155,0.03472480140693164,0.5482414507550044,0.4597923128178458,0.0023779901651173802
lmd,232,14.101353236238632,13.495333607275668,0.49778576098943966,0.6841770186483513,0.006507191757742218,282.6436308187179,1.4247143566381382e-62,0.7116912091377209,2.8690512943836626,0.09165181170996536,0.01232044910406203
ssim,232,0.7914750538781989,0.20556962504736584,0.0029678810721470786,0.9997764267286937,3.904954181251559e-05,623.4436637138126,2.210909168805633e-93,0.8448391040804372,0.6904945402952161,0.40685800070732203,0.002993164246629185
cpbd,232,90.24598504074056,46.786497010956616,0.008086470827785042,0.9989991621395891,0.00010638961199067485,18.378876446074948,3.9584235282869946e-08,0.13831300307188762,0.034492934159221326,0.8528258848469584,0.0001499467915409208
wavlm_sim,232,0.8546975897303943,0.12429974523125142,204.97894445351713,1.8988342884351917e-64,0.7295170990558947,0.14213736948746405,0.8675785535786866,0.001239835306187294,3.2940745217665364,0.07083284205634009,0.014119837927813305
mel_sim,232,0.14954467045930053,0.13977703763399027,57.69158861512252,8.693339536150582e-28,0.4315274372362178,0.025918011657338348,0.9744178349022107,0.00022630695398311411,1.1927318931926951,0.27592184478794285,0.005159037152360465
wer,220,0.7860119047619047,1.2076380696200595,17.577596649761226,3.0155529981859163e-10,0.19622759827423958,0.09286274897011221,0.9113547666160615,0.0008551459701801919,0.14929359548981527,0.6995881944551112,0.0006843643315510669
